"dtime per day","Average latency (ms)"
"2012-06-07","324.021"
"2012-06-08","322.28"
"2012-06-09","325.111"
"2012-06-10","325.876"
"2012-06-11","324.752"
"2012-06-12","322.359"
"2012-06-13","322.65"
"2012-06-14","323.123"
"2012-06-15","319.46"
"2012-06-16","321.218"
"2012-06-17","321.288"
"2012-06-18","323.441"
"2012-06-19","326.661"
"2012-06-20","326.808"
"2012-06-21","328.155"
"2012-06-22","331.387"
"2012-06-23","333.864"
"2012-06-24","334.122"
"2012-06-25","334.049"
"2012-06-26","335.08"
"2012-06-27","331.785"
"2012-06-28","330.638"
"2012-06-29","329.222"
"2012-06-30","330.225"
"2012-07-01","334.615"
"2012-07-02","334.197"
"2012-07-03","334.62"
"2012-07-04","332.998"
"2012-07-05","328.062"
"2012-07-06","333.384"
"2012-07-07","332.308"
"2012-07-08","334.168"
"2012-07-09","332.828"
"2012-07-10","330.092"
"2012-07-11","331.594"
"2012-07-12","330.565"
"2012-07-13","329.445"
"2012-07-14","330.873"
"2012-07-15","334.853"
"2012-07-16","334.555"
"2012-07-17","333.377"
"2012-07-18","332.013"
"2012-07-19","331.711"
"2012-07-20","331.588"
"2012-07-21","332.586"
"2012-07-22","333.104"
"2012-07-23","328.565"
"2012-07-24","327.061"
"2012-07-25","327.643"
"2012-07-26","327.07"
"2012-07-27","327.405"
"2012-07-28","324.83"
"2012-07-29","327.588"
"2012-07-30","328.082"
"2012-07-31","327.63"
"2012-08-01","324.06"
"2012-08-02","322.327"
"2012-08-03","319.604"
"2012-08-04","321.244"
"2012-08-05","322.572"
"2012-08-06","322.864"
"2012-08-07","323.7"
"2012-08-08","321.28"
"2012-08-09","319.197"
"2012-08-10","323.083"
"2012-08-11","324.285"
"2012-08-12","326.245"
"2012-08-13","324.778"
"2012-08-14","323.952"
"2012-08-15","323.462"
"2012-08-16","320.71"
"2012-08-17","318.1"
"2012-08-18","324.564"
"2012-08-19","329.905"
"2012-08-20","325.784"
"2012-08-21","322.295"
"2012-08-22","324.938"
"2012-08-23","320.119"
"2012-08-24","317.755"
"2012-08-25","329.916"
"2012-08-26","333.151"
"2012-08-27","331.717"
"2012-08-28","330.301"
"2012-08-29","330.322"
"2012-08-30","331.528"
"2012-08-31","329.836"
"2012-09-01","332.622"
"2012-09-02","334.39"
"2012-09-03","338.694"
"2012-09-04","334.274"
"2012-09-05","329.992"
"2012-09-06","329.444"
"2012-09-07","326.11"
"2012-09-08","326.179"
"2012-09-09","325.942"
"2012-09-10","322.958"
"2012-09-11","318.319"
"2012-09-12","319.923"
"2012-09-13","318.883"
"2012-09-14","317.199"
"2012-09-15","323.44"
"2012-09-16","323.946"
"2012-09-17","318.511"
"2012-09-18","318.628"
"2012-09-19","320.636"
"2012-09-20","323.68"
"2012-09-21","320.197"
"2012-09-22","323.676"
"2012-09-23","327.263"
"2012-09-24","322.3"
"2012-09-25","322.038"
"2012-09-26","322.146"
"2012-09-27","325.682"
"2012-09-28","325.538"
"2012-09-29","327.549"
"2012-09-30","330.114"
"2012-10-01","324.286"
"2012-10-02","325.39"
"2012-10-03","319.951"
"2012-10-04","320.216"
"2012-10-05","319.782"
"2012-10-06","323.742"
"2012-10-07","324.305"
"2012-10-08","319.397"
"2012-10-09","317.749"
"2012-10-10","318.522"
"2012-10-11","315.072"
"2012-10-12","317.268"
"2012-10-13","323.964"
"2012-10-14","322.723"
"2012-10-15","317.158"
"2012-10-16","317.479"
"2012-10-17","315.584"
"2012-10-18","319.08"
"2012-10-19","315.933"
"2012-10-20","321.775"
"2012-10-21","323.975"
"2012-10-22","320.777"
"2012-10-23","318.054"
"2012-10-24","320.952"
"2012-10-25","319.961"
"2012-10-26","320.324"
"2012-10-27","327.764"
"2012-10-28","328.54"
"2012-10-29","327.058"
"2012-10-30","318.926"
"2012-10-31","315.967"
"2012-11-01","312.541"
"2012-11-02","320.307"
"2012-11-03","321.54"
"2012-11-04","327.133"
"2012-11-05","324.35"
"2012-11-06","320.24"
"2012-11-07","321.76"
"2012-11-08","323.642"
"2012-11-09","320.472"
"2012-11-10","323.84"
"2012-11-11","325.366"
"2012-11-12","320.418"
"2012-11-13","317.906"
"2012-11-14","320.589"
"2012-11-15","321.857"
"2012-11-16","321.755"
"2012-11-17","326.708"
"2012-11-18","330.58"
"2012-11-19","327.126"
"2012-11-20","328.581"
"2012-11-21","329.076"
"2012-11-22","328.906"
"2012-11-23","329.615"
"2012-11-24","327.874"
"2012-11-25","328.875"
"2012-11-26","324.942"
"2012-11-27","324.17"
"2012-11-28","324.105"
"2012-11-29","324.749"
"2012-11-30","320.464"
"2012-12-01","325.408"
"2012-12-02","328.544"
"2012-12-03","319.341"
"2012-12-04","319.153"
"2012-12-05","318.386"
"2012-12-06","320.593"
"2012-12-07","316.464"
"2012-12-08","320.889"
"2012-12-09","327.091"
"2012-12-10","317.718"
"2012-12-11","312.951"
"2012-12-12","316.665"
"2012-12-13","317.166"
"2012-12-14","314.293"
"2012-12-15","322.923"
"2012-12-16","322.325"
"2012-12-17","317.579"
"2012-12-18","320.643"
"2012-12-19","318.723"
"2012-12-20","319.864"
"2012-12-21","317.288"
"2012-12-22","324.058"
"2012-12-23","322.738"
"2012-12-24","321.079"
"2012-12-25","315.524"
"2012-12-26","319.788"
"2012-12-27","321.671"
"2012-12-28","319.193"
"2012-12-29","323.863"
"2012-12-30","321.988"
"2012-12-31","325.227"
"2013-01-01","340.09"
"2013-01-02","336.709"
"2013-01-03","337.332"
"2013-01-04","334.979"
"2013-01-05","344.65"
"2013-01-06","346.427"
"2013-01-07","334.041"
"2013-01-08","334.359"
"2013-01-09","337.424"
"2013-01-10","336.546"
"2013-01-11","333.618"
