"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2017-09-01","91.32%","7.87%","0.81%"
"2017-10-01","91.46%","7.69%","0.84%"
"2017-11-01","90.98%","8.15%","0.87%"
"2017-12-01","90.75%","8.39%","0.87%"
"2018-01-01","91.92%","7.34%","0.74%"
"2018-02-01","92.01%","7.28%","0.71%"
"2018-03-01","92.71%","6.58%","0.72%"
"2018-04-01","93.53%","5.81%","0.65%"
"2018-05-01","93.48%","5.91%","0.61%"
"2018-06-01","93.29%","6.10%","0.61%"
"2018-07-01","92.71%","6.61%","0.68%"
"2018-08-01","92.52%","6.75%","0.73%"
"2018-09-01","92.65%","6.48%","0.86%"
"2018-10-01","92.37%","6.79%","0.84%"
"2018-11-01","91.92%","7.15%","0.93%"
"2018-12-01","90.27%","8.71%","1.01%"
"2019-01-01","88.95%","9.97%","1.08%"
"2019-02-01","86.18%","12.82%","1.01%"
"2019-03-01","88.72%","10.36%","0.93%"
"2019-04-01","90.14%","8.95%","0.91%"
"2019-05-01","91.84%","7.23%","0.93%"
"2019-06-01","91.87%","7.16%","0.97%"
"2019-07-01","92.41%","6.63%","0.96%"
"2019-08-01","92.35%","6.73%","0.92%"
"2019-09-01","92.49%","6.69%","0.82%"
"2019-10-01","92.01%","7.11%","0.87%"
"2019-11-01","92.19%","6.93%","0.87%"
"2019-12-01","91.63%","7.41%","0.96%"
"2020-01-01","91.66%","7.36%","0.98%"
"2020-02-01","91.57%","7.44%","0.99%"
"2020-03-01","90.36%","8.50%","1.14%"
"2020-04-01","89.36%","9.37%","1.27%"
"2020-05-01","90.34%","8.50%","1.16%"
"2020-06-01","91.01%","7.94%","1.05%"
"2020-07-01","91.33%","7.71%","0.96%"
"2020-08-01","92.37%","6.70%","0.93%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","91.72%","7.32%","0.95%"
"2020-12-01","91.76%","7.23%","1.00%"
"2021-01-01","92.31%","6.77%","0.93%"
"2021-02-01","92.07%","6.98%","0.94%"
"2021-03-01","93.14%","6.02%","0.84%"
"2021-04-01","93.44%","5.78%","0.78%"
"2021-05-01","94.07%","5.22%","0.71%"
"2021-06-01","92.67%","6.32%","1.01%"
"2021-07-01","94.21%","5.12%","0.67%"
"2021-08-01","94.33%","5.02%","0.65%"
"2021-09-01","94.07%","5.27%","0.66%"
"2021-10-01","94.41%","4.92%","0.67%"
"2021-11-01","94.59%","4.77%","0.64%"
"2021-12-01","94.35%","4.96%","0.69%"
"2022-01-01","94.16%","5.12%","0.72%"
"2022-02-01","94.23%","5.09%","0.68%"
"2022-03-01","94.18%","5.09%","0.73%"
"2022-04-01","94.41%","4.87%","0.72%"
"2022-05-01","94.61%","4.75%","0.64%"
"2022-06-01","94.34%","5.01%","0.65%"
"2022-07-01","94.46%","4.81%","0.72%"
"2022-08-01","94.36%","4.89%","0.74%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","94.09%","5.16%","0.74%"
"2022-12-01","94.08%","5.19%","0.73%"
"2023-01-01","94.33%","4.96%","0.71%"
"2023-02-01","94.47%","4.85%","0.67%"
"2023-03-01",null,null,null
"2023-04-01","95.70%","3.81%","0.50%"
"2023-05-01","95.55%","3.91%","0.54%"
"2023-06-01","94.78%","4.56%","0.65%"
"2023-07-01","95.28%","4.13%","0.59%"
